Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.6,499.4,0.0,0.5
0.0,2.6,499.4,0.0,1.0
0.0,2.6,499.4,0.0,1.5
0.0,3.2,498.8,0.0,2.0
0.0,3.4,498.6,0.0,2.5
0.0,3.4,498.6,0.0,3.0
0.0,4.0,498.0,0.0,3.5
0.0,5.0,497.0,0.0,4.0
0.0,6.0,496.0,0.0,4.5
0.0,6.0,495.8,0.2,5.0
0.0,6.2,495.6,0.2,5.5
0.0,7.0,494.8,0.2,6.0
0.0,7.8,494.0,0.2,6.5
0.0,8.4,493.4,0.2,7.0
0.0,8.6,493.0,0.4,7.5
0.0,8.8,492.6,0.6,8.0
0.0,10.0,491.4,0.6,8.5
0.0,10.2,490.8,1.0,9.0
0.0,10.8,490.0,1.2,9.5
0.0,11.8,489.0,1.2,10.0
0.0,12.8,488.0,1.2,10.5
0.0,13.4,487.4,1.2,11.0
0.0,14.0,486.8,1.2,11.5
0.0,15.2,485.4,1.4,12.0
0.0,15.8,484.8,1.4,12.5
0.0,16.2,484.4,1.4,13.0
0.0,16.8,483.8,1.4,13.5
0.0,17.4,483.2,1.4,14.0
0.0,18.4,482.2,1.4,14.5
0.0,19.4,481.2,1.4,15.0
0.0,21.0,479.6,1.4,15.5
0.0,21.6,479.0,1.4,16.0
0.0,22.6,478.0,1.4,16.5
0.0,24.2,476.4,1.4,17.0
0.0,25.4,475.2,1.4,17.5
0.0,27.4,473.2,1.4,18.0
0.2,28.4,472.0,1.4,18.5
0.2,29.6,469.8,2.4,19.0
0.2,32.2,466.8,2.8,19.5
0.6,34.0,464.4,3.0,20.0
0.6,35.0,463.2,3.2,20.5
0.6,36.8,460.8,3.8,21.0
0.6,38.8,458.8,3.8,21.5
0.6,40.0,457.4,4.0,22.0
0.6,40.2,457.0,4.2,22.5
0.6,41.4,455.4,4.6,23.0
1.2,41.0,454.8,5.0,23.5
1.4,42.0,453.6,5.0,24.0
1.6,43.0,452.2,5.2,24.5
1.6,43.8,451.2,5.4,25.0
1.6,44.4,450.0,6.0,25.5
1.8,45.0,449.0,6.2,26.0
1.8,46.0,447.6,6.6,26.5
1.8,46.4,447.0,6.8,27.0
2.2,47.6,445.2,7.0,27.5
2.4,48.6,444.0,7.0,28.0
2.4,50.0,442.6,7.0,28.5
2.6,51.0,441.2,7.2,29.0
3.4,53.0,438.4,7.2,29.5
3.8,54.6,436.4,7.2,30.0
3.8,56.6,434.4,7.2,30.5
4.6,58.4,431.8,7.2,31.0
5.2,59.8,429.2,7.8,31.5
5.8,61.6,426.6,8.0,32.0
6.0,63.8,424.0,8.2,32.5
6.4,65.8,421.4,8.4,33.0
6.6,67.4,419.6,8.4,33.5
7.2,68.8,416.8,9.2,34.0
7.2,70.6,414.2,10.0,34.5
7.2,72.0,412.4,10.4,35.0
8.0,73.0,410.4,10.6,35.5
8.4,76.4,406.4,10.8,36.0
8.8,78.4,403.6,11.2,36.5
9.4,81.8,399.4,11.4,37.0
9.8,84.4,396.0,11.8,37.5
10.6,84.6,395.0,11.8,38.0
11.0,88.0,391.2,11.8,38.5
12.0,89.4,388.6,12.0,39.0
12.0,93.4,384.2,12.4,39.5
12.2,96.2,381.0,12.6,40.0
13.0,96.6,379.2,13.2,40.5
13.4,98.4,375.8,14.4,41.0
13.6,100.4,373.2,14.8,41.5
13.8,103.2,369.6,15.4,42.0
14.8,106.0,365.2,16.0,42.5
14.8,109.6,361.4,16.2,43.0
15.6,111.6,357.6,17.2,43.5
16.6,112.8,354.8,17.8,44.0
16.6,114.2,352.8,18.4,44.5
18.0,115.4,349.4,19.2,45.0
18.4,116.8,346.0,20.8,45.5
19.0,120.2,341.4,21.4,46.0
19.2,122.2,338.4,22.2,46.5
19.4,125.6,334.6,22.4,47.0
19.8,127.8,331.4,23.0,47.5
20.6,129.4,326.8,25.2,48.0
21.4,131.4,322.8,26.4,48.5
22.0,133.4,320.0,26.6,49.0
22.4,135.8,316.8,27.0,49.5
23.0,137.2,313.8,28.0,50.0
24.2,138.4,309.8,29.6,50.5
25.0,138.0,306.8,32.2,51.0
25.8,139.6,303.2,33.4,51.5
26.4,141.2,299.6,34.8,52.0
27.2,143.0,295.8,36.0,52.5
28.4,143.0,292.6,38.0,53.0
28.8,144.2,290.2,38.8,53.5
29.2,147.4,285.2,40.2,54.0
30.2,148.4,281.6,41.8,54.5
30.8,149.4,278.6,43.2,55.0
31.2,152.6,274.0,44.2,55.5
32.8,155.0,269.2,45.0,56.0
34.6,157.8,263.8,45.8,56.5
35.6,158.8,259.8,47.8,57.0
36.4,161.0,255.8,48.8,57.5
37.2,162.0,253.6,49.2,58.0
38.2,164.8,248.8,50.2,58.5
40.2,165.4,244.8,51.6,59.0
41.6,166.6,240.8,53.0,59.5
42.8,167.8,237.0,54.4,60.0
45.4,168.6,231.8,56.2,60.5
47.2,171.4,226.0,57.4,61.0
48.2,172.2,223.6,58.0,61.5
49.4,173.2,219.8,59.6,62.0
51.4,173.8,216.4,60.4,62.5
52.4,175.4,212.2,62.0,63.0
53.0,174.4,210.2,64.4,63.5
54.0,176.8,206.2,65.0,64.0
55.2,178.0,201.2,67.6,64.5
56.2,178.6,198.8,68.4,65.0
57.8,180.0,194.6,69.6,65.5
59.2,180.4,190.4,72.0,66.0
61.2,179.8,187.8,73.2,66.5
62.2,179.6,185.0,75.2,67.0
63.6,180.2,181.8,76.4,67.5
65.0,181.0,178.0,78.0,68.0
66.0,182.2,174.6,79.2,68.5
67.8,183.4,170.0,80.8,69.0
69.6,182.4,166.6,83.4,69.5
70.4,182.8,164.2,84.6,70.0
71.2,183.8,160.8,86.2,70.5
74.2,184.4,156.0,87.4,71.0
76.2,184.0,152.8,89.0,71.5
78.0,184.0,149.6,90.4,72.0
79.4,183.6,147.0,92.0,72.5
81.2,184.0,142.4,94.4,73.0
82.0,184.6,139.0,96.4,73.5
83.6,185.6,135.0,97.8,74.0
84.8,186.6,131.0,99.6,74.5
87.0,185.4,128.2,101.4,75.0
88.2,186.4,124.4,103.0,75.5
90.2,185.4,121.2,105.2,76.0
91.0,186.0,117.6,107.4,76.5
93.0,186.2,114.4,108.4,77.0
94.2,185.8,112.0,110.0,77.5
96.2,186.0,108.6,111.2,78.0
98.2,186.8,104.6,112.4,78.5
100.8,186.8,100.4,114.0,79.0
102.2,187.8,96.2,115.8,79.5
103.8,187.2,93.2,117.8,80.0
105.4,186.2,90.6,119.8,80.5
108.8,182.0,88.8,122.4,81.0
110.6,179.8,87.2,124.4,81.5
112.2,181.2,83.0,125.6,82.0
114.2,180.8,79.4,127.6,82.5
116.8,179.4,77.0,128.8,83.0
119.0,178.0,74.8,130.2,83.5
119.8,177.2,73.6,131.4,84.0
121.6,176.4,71.2,132.8,84.5
124.6,172.8,69.6,135.0,85.0
126.2,171.2,68.6,136.0,85.5
128.0,170.2,66.2,137.6,86.0
130.0,169.0,63.6,139.4,86.5
132.0,167.6,61.2,141.2,87.0
133.8,165.8,59.2,143.2,87.5
136.0,163.8,57.2,145.0,88.0
136.8,163.6,54.6,147.0,88.5
138.4,160.8,52.8,150.0,89.0
139.4,159.2,51.8,151.6,89.5
140.4,157.6,50.6,153.4,90.0
142.4,153.8,49.4,156.4,90.5
143.6,152.0,48.2,158.2,91.0
145.2,149.0,48.0,159.8,91.5
147.2,146.2,47.2,161.4,92.0
149.0,143.2,45.6,164.2,92.5
149.8,142.4,43.6,166.2,93.0
152.2,139.0,42.6,168.2,93.5
154.0,136.2,41.6,170.2,94.0
155.2,133.8,41.0,172.0,94.5
156.6,132.4,39.4,173.6,95.0
158.2,129.8,39.0,175.0,95.5
158.6,128.0,38.4,177.0,96.0
160.8,124.6,37.4,179.2,96.5
162.2,121.8,36.8,181.2,97.0
163.4,118.2,36.8,183.6,97.5
164.8,116.0,36.2,185.0,98.0
166.0,113.0,36.0,187.0,98.5
167.6,110.2,35.6,188.6,99.0
169.4,107.2,35.0,190.4,99.5
171.0,104.0,34.8,192.2,100.0
172.8,100.8,34.4,194.0,100.5
173.4,99.0,33.6,196.0,101.0
174.2,97.0,33.6,197.2,101.5
176.0,93.2,33.6,199.2,102.0
177.0,91.4,33.0,200.6,102.5
178.2,88.2,33.0,202.6,103.0
179.8,85.0,33.0,204.2,103.5
180.4,83.8,32.8,205.0,104.0
182.2,80.8,32.4,206.6,104.5
182.8,78.0,32.4,208.8,105.0
183.6,75.4,32.2,210.8,105.5
184.4,73.2,32.2,212.2,106.0
185.0,69.6,32.0,215.4,106.5
186.4,66.2,31.8,217.6,107.0
188.2,61.8,31.8,220.2,107.5
190.0,58.8,31.6,221.6,108.0
191.2,56.0,31.6,223.2,108.5
192.0,54.0,31.6,224.4,109.0
193.2,51.2,31.4,226.2,109.5
193.6,49.0,31.4,228.0,110.0
193.8,47.0,31.4,229.8,110.5
195.2,43.8,31.4,231.6,111.0
196.2,40.4,31.4,234.0,111.5
197.2,37.8,31.2,235.8,112.0
198.4,35.4,31.2,237.0,112.5
199.2,33.4,31.0,238.4,113.0
200.0,31.4,30.6,240.0,113.5
200.2,30.4,30.6,240.8,114.0
200.8,28.2,30.6,242.4,114.5
201.4,26.2,30.6,243.8,115.0
201.6,24.6,30.6,245.2,115.5
201.6,23.0,30.6,246.8,116.0
202.0,22.2,30.6,247.2,116.5
202.0,21.8,30.6,247.6,117.0
202.4,20.4,30.6,248.6,117.5
203.4,18.8,30.6,249.2,118.0
203.6,18.0,30.6,249.8,118.5
203.8,17.0,30.6,250.6,119.0
204.0,15.8,30.6,251.6,119.5
204.0,15.2,30.6,252.2,120.0
204.2,13.8,30.6,253.4,120.5
204.4,12.8,30.6,254.2,121.0
205.0,11.4,30.6,255.0,121.5
205.0,11.4,30.4,255.2,122.0
205.8,9.8,30.4,256.0,122.5
206.0,9.2,30.4,256.4,123.0
206.0,8.8,30.4,256.8,123.5
206.2,8.6,30.4,256.8,124.0
206.4,8.4,30.4,256.8,124.5
206.6,8.0,30.4,257.0,125.0
206.6,7.6,30.4,257.4,125.5
206.8,6.6,30.4,258.2,126.0
206.8,6.4,30.4,258.4,126.5
206.8,6.0,30.4,258.8,127.0
207.0,5.8,30.4,258.8,127.5
207.4,5.0,30.4,259.2,128.0
207.4,4.8,30.4,259.4,128.5
207.6,4.4,30.4,259.6,129.0
207.6,4.2,30.4,259.8,129.5
207.6,4.2,30.4,259.8,130.0
207.6,3.8,30.4,260.2,130.5
207.8,3.0,30.4,260.8,131.0
208.0,2.8,30.4,260.8,131.5
208.0,2.6,30.4,261.0,132.0
208.0,2.0,30.4,261.6,132.5
208.0,2.0,30.4,261.6,133.0
208.0,1.8,30.4,261.8,133.5
208.4,1.4,30.4,261.8,134.0
208.4,1.4,30.4,261.8,134.5
208.6,1.2,30.4,261.8,135.0
208.6,1.2,30.4,261.8,135.5
208.6,1.2,30.4,261.8,136.0
208.6,1.0,30.4,262.0,136.5
208.6,1.0,30.4,262.0,137.0
208.6,0.8,30.4,262.2,137.5
208.6,0.8,30.4,262.2,138.0
208.6,0.8,30.4,262.2,138.5
208.6,0.8,30.4,262.2,139.0
208.6,0.8,30.4,262.2,139.5
208.6,0.8,30.4,262.2,140.0
208.6,0.8,30.4,262.2,140.5
208.6,0.8,30.4,262.2,141.0
208.6,0.8,30.4,262.2,141.5
208.6,0.8,30.4,262.2,142.0
208.6,0.8,30.4,262.2,142.5
208.6,0.8,30.4,262.2,143.0
208.6,0.8,30.4,262.2,143.5
208.6,0.8,30.4,262.2,144.0
208.6,0.2,30.4,262.8,144.5
208.6,0.2,30.4,262.8,145.0
208.6,0.2,30.4,262.8,145.5
208.6,0.2,30.4,262.8,146.0
208.6,0.2,30.4,262.8,146.5
208.6,0.2,30.4,262.8,147.0
208.6,0.2,30.4,262.8,147.5
208.6,0.2,30.4,262.8,148.0
208.8,0.0,30.4,262.8,148.5
208.8,0.0,30.4,262.8,149.0
208.8,0.0,30.4,262.8,149.5
208.8,0.0,30.4,262.8,150.0
208.8,0.0,30.4,262.8,150.5
208.8,0.0,30.4,262.8,151.0
208.8,0.0,30.4,262.8,151.5
208.8,0.0,30.4,262.8,152.0
208.8,0.0,30.4,262.8,152.5
208.8,0.0,30.4,262.8,153.0
208.8,0.0,30.4,262.8,153.5
208.8,0.0,30.4,262.8,154.0
208.8,0.0,30.4,262.8,154.5
208.8,0.0,30.4,262.8,155.0
208.8,0.0,30.4,262.8,155.5
208.8,0.0,30.4,262.8,156.0
208.8,0.0,30.4,262.8,156.5
208.8,0.0,30.4,262.8,157.0
208.8,0.0,30.4,262.8,157.5
208.8,0.0,30.4,262.8,158.0
208.8,0.0,30.4,262.8,158.5
208.8,0.0,30.4,262.8,159.0
208.8,0.0,30.4,262.8,159.5
208.8,0.0,30.4,262.8,160.0
208.8,0.0,30.4,262.8,160.5
208.8,0.0,30.4,262.8,161.0
208.8,0.0,30.4,262.8,161.5
208.8,0.0,30.4,262.8,162.0
208.8,0.0,30.4,262.8,162.5
208.8,0.0,30.4,262.8,163.0
208.8,0.0,30.4,262.8,163.5
208.8,0.0,30.4,262.8,164.0
208.8,0.0,30.4,262.8,164.5
208.8,0.0,30.4,262.8,165.0
208.8,0.0,30.4,262.8,165.5
208.8,0.0,30.4,262.8,166.0
208.8,0.0,30.4,262.8,166.5
208.8,0.0,30.4,262.8,167.0
208.8,0.0,30.4,262.8,167.5
208.8,0.0,30.4,262.8,168.0
208.8,0.0,30.4,262.8,168.5
208.8,0.0,30.4,262.8,169.0
208.8,0.0,30.4,262.8,169.5
208.8,0.0,30.4,262.8,170.0
208.8,0.0,30.4,262.8,170.5
208.8,0.0,30.4,262.8,171.0
208.8,0.0,30.4,262.8,171.5
208.8,0.0,30.4,262.8,172.0
208.8,0.0,30.4,262.8,172.5
208.8,0.0,30.4,262.8,173.0
208.8,0.0,30.4,262.8,173.5
208.8,0.0,30.4,262.8,174.0
208.8,0.0,30.4,262.8,174.5
208.8,0.0,30.4,262.8,175.0
208.8,0.0,30.4,262.8,175.5
208.8,0.0,30.4,262.8,176.0
208.8,0.0,30.4,262.8,176.5
208.8,0.0,30.4,262.8,177.0
208.8,0.0,30.4,262.8,177.5
208.8,0.0,30.4,262.8,178.0
208.8,0.0,30.4,262.8,178.5
208.8,0.0,30.4,262.8,179.0
208.8,0.0,30.4,262.8,179.5
208.8,0.0,30.4,262.8,180.0
208.8,0.0,30.4,262.8,180.5
208.8,0.0,30.4,262.8,181.0
208.8,0.0,30.4,262.8,181.5
208.8,0.0,30.4,262.8,182.0
208.8,0.0,30.4,262.8,182.5
208.8,0.0,30.4,262.8,183.0
208.8,0.0,30.4,262.8,183.5
208.8,0.0,30.4,262.8,184.0
208.8,0.0,30.4,262.8,184.5
208.8,0.0,30.4,262.8,185.0
208.8,0.0,30.4,262.8,185.5
208.8,0.0,30.4,262.8,186.0
208.8,0.0,30.4,262.8,186.5
208.8,0.0,30.4,262.8,187.0
208.8,0.0,30.4,262.8,187.5
208.8,0.0,30.4,262.8,188.0
208.8,0.0,30.4,262.8,188.5
208.8,0.0,30.4,262.8,189.0
208.8,0.0,30.4,262.8,189.5
208.8,0.0,30.4,262.8,190.0
208.8,0.0,30.4,262.8,190.5
208.8,0.0,30.4,262.8,191.0
208.8,0.0,30.4,262.8,191.5
208.8,0.0,30.4,262.8,192.0
208.8,0.0,30.4,262.8,192.5
208.8,0.0,30.4,262.8,193.0
208.8,0.0,30.4,262.8,193.5
208.8,0.0,30.4,262.8,194.0
208.8,0.0,30.4,262.8,194.5
208.8,0.0,30.4,262.8,195.0
208.8,0.0,30.4,262.8,195.5
208.8,0.0,30.4,262.8,196.0
208.8,0.0,30.4,262.8,196.5
208.8,0.0,30.4,262.8,197.0
208.8,0.0,30.4,262.8,197.5
208.8,0.0,30.4,262.8,198.0
208.8,0.0,30.4,262.8,198.5
208.8,0.0,30.4,262.8,199.0
208.8,0.0,30.4,262.8,199.5
208.8,0.0,30.4,262.8,200.0
